vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
4.57559,23.757,-18.6128,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
17.4744,38.665,-11.9428,23711,-75,-75,12,-75,-25,17,-75,25,12,-75,75,15,-25,-75,10,-25,-25,15,-25,25,15,-25,75,27,25,-75,12,25,-25,19,25,25,20,25,75,27,75,-75,10,75,-25,7,75,25,20,75,75,16
-32.4845,-30.8003,-7.52926,42,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
41.2815,-25.1977,11.3028,182053,-75,-75,78,-75,-25,80,-75,25,69,-75,75,58,-25,-75,105,-25,-25,97,-25,25,86,-25,75,77,25,-75,136,25,-25,172,25,25,122,25,75,81,75,-75,148,75,-25,159,75,25,145,75,75,96
-32.538,39.5885,13.5448,249,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
39.4127,-2.25917,21.9796,15884,-75,-75,6,-75,-25,5,-75,25,11,-75,75,4,-25,-75,7,-25,-25,10,-25,25,8,-25,75,8,25,-75,9,25,-25,15,25,25,15,25,75,10,75,-75,9,75,-25,18,75,25,13,75,75,9
1.79639,-14.3252,-0.185516,274065,-75,-75,177,-75,-25,154,-75,25,167,-75,75,137,-25,-75,196,-25,-25,213,-25,25,193,-25,75,124,25,-75,153,25,-25,195,25,25,183,25,75,140,75,-75,118,75,-25,158,75,25,141,75,75,105
2.13466,-29.0037,18.4233,19904,-75,-75,10,-75,-25,14,-75,25,13,-75,75,6,-25,-75,19,-25,-25,14,-25,25,7,-25,75,7,25,-75,14,25,-25,15,25,25,16,25,75,10,75,-75,19,75,-25,10,75,25,10,75,75,8
48.1506,16.4371,-21.7798,9096,-75,-75,4,-75,-25,4,-75,25,4,-75,75,4,-25,-75,4,-25,-25,3,-99.9,-99.9,-1,-25,75,3,25,-75,2,25,-25,8,25,25,13,25,75,2,75,-75,5,75,-25,12,75,25,17,75,75,11
-5.86108,-22.4237,-21.3731,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,75,1
